Title,Artist Display Name,Period,Object Date,Classification,Link Resource
清　王素　東山報捷圖　軸|Bringing the Message of Victory to Dongshan,Wang Su,Qing dynasty (1644–1911),1862,Paintings,http://www.metmuseum.org/art/collection/search/36160
清  趙之謙  芍藥  扇面|Peony,Zhao Zhiqian,Qing dynasty (1644–1911),dated 1862,Paintings,http://www.metmuseum.org/art/collection/search/36161
清  趙之謙  牡丹  軸|Peonies,Zhao Zhiqian,Qing dynasty (1644–1911),dated 1870,Paintings,http://www.metmuseum.org/art/collection/search/36162
清  胡遠  山水  軸|Landscape,Hu Yuan,Qing dynasty (1644–1911),,Paintings,http://www.metmuseum.org/art/collection/search/36163
清  真然  竹圖  軸|Bamboo,Chen Ran,Qing dynasty (1644–1911),,Paintings,http://www.metmuseum.org/art/collection/search/36164
清  張熊  靈石  軸|Spiritual Stone,Zhang Xiong,Qing dynasty (1644–1911),dated 1858,Paintings,http://www.metmuseum.org/art/collection/search/36165
清  張熊  八哥秋葵圖  軸|Flower and Bird,Zhang Xiong,Qing dynasty (1644–1911),dated 1878,Paintings,http://www.metmuseum.org/art/collection/search/36166
清  居巢  蠶蛾  扇面|Silkworm,Ju Chao,Qing dynasty (1644–1911),dated 1859,Paintings,http://www.metmuseum.org/art/collection/search/36167
清   杜湘   仿古山水   冊|Landscapes after old masters,Du Xiang,Qing dynasty (1644–1911),19th century,Paintings,http://www.metmuseum.org/art/collection/search/36168
清  任薰  花鳥四條屏  軸|Birds and Flowers,Ren Xun,Qing dynasty (1644–1911),19th century,Paintings,http://www.metmuseum.org/art/collection/search/36169
"清  任頤  動物花鳥  冊頁八開|Animals, Flowers and Birds",Ren Yi (Ren Bonian),Qing dynasty (1644–1911),19th century,Paintings,http://www.metmuseum.org/art/collection/search/36170
清  張之萬  山水  冊頁十二開|Landscapes,Zhang Zhiwan,Qing dynasty (1644–1911),dated 1875,Paintings,http://www.metmuseum.org/art/collection/search/36171
清　舒浩　賞蓮圖　 團扇|Zhou Dunyi admiring lotus flowers,Shu Hao,Qing dynasty (1644–1911),late 19th century,Paintings,http://www.metmuseum.org/art/collection/search/36172
清  顧澐  懷素蕉林午睡圖  扇面|Huaisu in the Banana Grove,Gu Yun,Qing dynasty (1644–1911),dated 1869,Paintings,http://www.metmuseum.org/art/collection/search/36173
清  顧澐  山水  軸|Landscape,Gu Yun,Qing dynasty (1644–1911),,Paintings,http://www.metmuseum.org/art/collection/search/36174
清  顧澐  漁舟晚泊  軸|Moored at the West Cliff,Gu Yun,Qing dynasty (1644–1911),,Paintings,http://www.metmuseum.org/art/collection/search/36175
